Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,33.48,cascade,both,0.9,0.4,1,"1h(0.4%,L4,B4,OF)","1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,2.03,0.03,4.5,1.11,0.05,102.03
2,26.89,cascade,both,0.9,0.4,1,"1h(0.3%,L4,B4,OF)","1h: swing=0.3%, lookback=4, minLegBars=4, opposite=false",60,41.7,0.63,0.01,4.5,1.03,0.02,100.63
3,24.72,cascade,both,0.9,0.4,1,"1h(0.1%,L3,B4,OF)","1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",63,41.3,0.21,0.00,5.7,1.01,0.00,100.21
4,24.72,cascade,both,0.9,0.4,1,"1h(0.2%,L3,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false",63,41.3,0.21,0.00,5.7,1.01,0.00,100.21
5,23.85,cascade,both,0.9,0.4,1,"1h(0.5%,L4,B4,OF)","1h: swing=0.5%, lookback=4, minLegBars=4, opposite=false",59,40.7,-0.17,-0.00,4.5,0.99,-0.00,99.83
6,23.81,cascade,both,0.9,0.4,1,"1h(0.4%,L3,B4,OF)","1h: swing=0.4%, lookback=3, minLegBars=4, opposite=false",64,40.6,-0.06,-0.00,4.8,1.00,-0.00,99.94
7,23.46,cascade,both,0.9,0.4,1,"1h(0.4%,L1,B4,OF)","1h: swing=0.4%, lookback=1, minLegBars=4, opposite=false",60,40.0,-0.70,-0.01,4.9,0.97,-0.02,99.30
8,23.12,cascade,both,0.9,0.4,1,"1h(0.3%,L3,B4,OF)","1h: swing=0.3%, lookback=3, minLegBars=4, opposite=false",63,39.7,-1.15,-0.02,5.7,0.95,-0.03,98.85
9,22.65,cascade,both,0.9,0.4,1,"1h(0.1%,L4,B4,OF)","1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",60,38.3,-2.19,-0.04,4.9,0.89,-0.05,97.81
10,22.65,cascade,both,0.9,0.4,1,"1h(0.2%,L4,B4,OF)","1h: swing=0.2%, lookback=4, minLegBars=4, opposite=false",60,38.3,-2.19,-0.04,4.9,0.89,-0.05,97.81
11,21.78,cascade,both,0.9,0.4,1,"1h(0.5%,L5,B4,OF)","1h: swing=0.5%, lookback=5, minLegBars=4, opposite=false",60,36.7,-3.74,-0.06,5.2,0.82,-0.09,96.26
12,21.68,cascade,both,0.9,0.4,1,"1h(0.6%,L1,B4,OF)","1h: swing=0.6%, lookback=1, minLegBars=4, opposite=false",46,37.0,-2.91,-0.06,6.1,0.83,-0.09,97.09
13,21.31,cascade,both,0.9,0.4,1,"1h(0.4%,L2,B4,OF)","1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",63,36.5,-3.75,-0.06,7.6,0.83,-0.09,96.25
14,21.14,cascade,both,0.9,0.4,1,"1h(0.5%,L3,B4,OF)","1h: swing=0.5%, lookback=3, minLegBars=4, opposite=false",61,36.1,-3.72,-0.06,7.9,0.83,-0.09,96.28
15,21.12,cascade,both,0.9,0.4,1,"1h(0.7%,L1,B4,OF)","1h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",39,35.9,-3.06,-0.08,6.5,0.79,-0.12,96.94
16,20.89,cascade,both,0.9,0.4,1,"1h(0.7%,L1,B3,OF)","1h: swing=0.7%, lookback=1, minLegBars=3, opposite=false",42,35.7,-3.29,-0.08,7.5,0.79,-0.12,96.71
17,20.63,cascade,both,0.9,0.4,1,"1h(0.6%,L4,B4,OF)","1h: swing=0.6%, lookback=4, minLegBars=4, opposite=false",60,35.0,-4.96,-0.08,7.6,0.77,-0.13,95.04
18,20.60,cascade,both,0.9,0.4,1,"1h(0.5%,L3,B5,OF)","1h: swing=0.5%, lookback=3, minLegBars=5, opposite=false",54,35.2,-4.35,-0.08,8.1,0.78,-0.12,95.65
19,20.58,cascade,both,0.9,0.4,1,"1h(0.6%,L5,B4,OF)","1h: swing=0.6%, lookback=5, minLegBars=4, opposite=false",61,34.4,-5.53,-0.09,6.6,0.75,-0.14,94.47
