take_profit,stop_loss,total_trades,win_rate,failed_trades,total_pnl,avg_pnl,highest_win_pnl,lowest_win_pnl,highest_loss_pnl,lowest_loss_pnl,avg_favorable_excursion,highest_favorable,lowest_favorable,avg_adverse_excursion,highest_adverse,lowest_adverse,final_capital,total_return
3.04,12.50,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.04,13.00,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.04,13.50,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.04,14.00,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.04,14.50,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.04,15.00,3,100.00,0,72.00,24.00,24.00,24.00,0.00,0.00,3.28,3.55,3.05,3.47,9.03,0.59,190.66,90.66
3.05,9.00,6,83.33,1,48.08,8.01,24.08,24.08,-72.32,-72.32,3.12,3.55,2.62,2.38,9.03,0.27,81.41,-18.59
3.05,9.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,10.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,10.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,11.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,11.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,12.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,12.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,13.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,13.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,14.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,14.50,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.05,15.00,3,100.00,0,72.24,24.08,24.08,24.08,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.03,91.03
3.06,9.00,6,83.33,1,48.48,8.08,24.16,24.16,-72.32,-72.32,3.12,3.55,2.62,2.38,9.03,0.27,81.67,-18.33
3.06,9.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,10.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,10.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,11.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,11.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,12.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,12.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,13.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,13.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,14.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,14.50,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.06,15.00,3,100.00,0,72.48,24.16,24.16,24.16,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.40,91.40
3.07,9.00,6,83.33,1,48.88,8.15,24.24,24.24,-72.32,-72.32,3.13,3.55,2.62,2.38,9.03,0.27,81.94,-18.06
3.07,9.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,10.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,10.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,11.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,11.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,12.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,12.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,13.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,13.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,14.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,14.50,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.07,15.00,3,100.00,0,72.72,24.24,24.24,24.24,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,191.77,91.77
3.08,9.00,6,83.33,1,49.28,8.21,24.32,24.32,-72.32,-72.32,3.13,3.55,2.62,2.38,9.03,0.27,82.20,-17.80
3.08,9.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,10.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,10.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,11.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,11.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,12.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,12.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,13.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,13.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,14.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,14.50,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.08,15.00,3,100.00,0,72.96,24.32,24.32,24.32,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.14,92.14
3.09,9.00,6,83.33,1,49.68,8.28,24.40,24.40,-72.32,-72.32,3.17,3.55,2.62,2.38,9.03,0.27,82.46,-17.54
3.09,9.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,10.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,10.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,11.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,11.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,12.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,12.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,13.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,13.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,14.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,14.50,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.09,15.00,3,100.00,0,73.20,24.40,24.40,24.40,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.51,92.51
3.10,9.00,6,83.33,1,50.08,8.35,24.48,24.48,-72.32,-72.32,3.17,3.55,2.62,2.38,9.03,0.27,82.73,-17.27
3.10,9.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,10.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,10.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,11.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,11.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,12.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,12.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,13.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,13.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,14.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,14.50,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.10,15.00,3,100.00,0,73.44,24.48,24.48,24.48,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,192.89,92.89
3.11,9.00,6,83.33,1,50.48,8.41,24.56,24.56,-72.32,-72.32,3.17,3.55,2.62,2.38,9.03,0.27,83.00,-17.00
3.11,9.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,10.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,10.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,11.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,11.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,12.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,12.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,13.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,13.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,14.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,14.50,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.11,15.00,3,100.00,0,73.68,24.56,24.56,24.56,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.26,93.26
3.12,9.00,6,83.33,1,50.88,8.48,24.64,24.64,-72.32,-72.32,3.18,3.55,2.62,2.38,9.03,0.27,83.26,-16.74
3.12,9.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,10.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,10.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,11.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,11.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,12.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,12.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,13.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,13.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,14.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,14.50,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.12,15.00,3,100.00,0,73.92,24.64,24.64,24.64,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,193.63,93.63
3.13,9.00,6,83.33,1,51.28,8.55,24.72,24.72,-72.32,-72.32,3.18,3.55,2.62,2.38,9.03,0.27,83.53,-16.47
3.13,9.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,10.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,10.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,11.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,11.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,12.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,12.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,13.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,13.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,14.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,14.50,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.13,15.00,3,100.00,0,74.16,24.72,24.72,24.72,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.00,94.00
3.14,9.00,6,83.33,1,51.68,8.61,24.80,24.80,-72.32,-72.32,3.18,3.55,2.62,2.38,9.03,0.27,83.80,-16.20
3.14,9.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,10.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,10.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,11.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,11.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,12.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,12.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,13.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,13.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,14.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,14.50,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.14,15.00,3,100.00,0,74.40,24.80,24.80,24.80,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.38,94.38
3.15,9.00,6,83.33,1,52.08,8.68,24.88,24.88,-72.32,-72.32,3.18,3.55,2.62,2.38,9.03,0.27,84.07,-15.93
3.15,9.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,10.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,10.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,11.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,11.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,12.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,12.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,13.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,13.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,14.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,14.50,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.15,15.00,3,100.00,0,74.64,24.88,24.88,24.88,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,194.75,94.75
3.16,9.00,6,83.33,1,52.48,8.75,24.96,24.96,-72.32,-72.32,3.18,3.55,2.62,2.38,9.03,0.27,84.34,-15.66
3.16,9.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,10.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,10.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,11.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,11.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,12.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,12.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,13.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,13.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,14.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,14.50,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.16,15.00,3,100.00,0,74.88,24.96,24.96,24.96,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.13,95.13
3.17,9.00,6,83.33,1,52.88,8.81,25.04,25.04,-72.32,-72.32,3.19,3.55,2.62,2.38,9.03,0.27,84.61,-15.39
3.17,9.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,10.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,10.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,11.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,11.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,12.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,12.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,13.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,13.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,14.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,14.50,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.17,15.00,3,100.00,0,75.12,25.04,25.04,25.04,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.50,95.50
3.18,9.00,6,83.33,1,53.28,8.88,25.12,25.12,-72.32,-72.32,3.19,3.55,2.62,2.38,9.03,0.27,84.88,-15.12
3.18,9.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,10.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,10.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,11.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,11.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,12.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,12.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,13.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,13.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,14.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,14.50,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.18,15.00,3,100.00,0,75.36,25.12,25.12,25.12,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,195.88,95.88
3.19,9.00,6,83.33,1,53.68,8.95,25.20,25.20,-72.32,-72.32,3.20,3.55,2.62,2.38,9.03,0.27,85.15,-14.85
3.19,9.50,3,100.00,0,75.60,25.20,25.20,25.20,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,196.25,96.25
3.19,10.00,3,100.00,0,75.60,25.20,25.20,25.20,0.00,0.00,3.34,3.55,3.23,3.47,9.03,0.59,196.25,96.25
